NOM_SITE,Annee,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
Point L,1998,10.74,34.94,6.34,8.11,0.59,1.885,0.36,0.34,1.09,269,8.25,1.89,NA,NA,NA
Point L,1999,14.94,34.735,6.3,8.04,1.04,3.04,0.13,0.16,4.32,318,10.57,2.31,NA,NA,NA
Point L,2000,14.95,34.29,6.63,8.1,0.455,0.32,0.06,0.17,1.2,378,6.7,2.54,NA,NA,NA
Point L,2001,11.9,33.68,6.19,8.205,0.58,2.36,0.13,0.28,2.72,384.5,8.01,3.73,NA,NA,NA
Point L,2002,14.47,34.43,6.04,8.15,0.23,4.11,0.14,0.31,4.07,288,8.53,3.7,NA,NA,NA
Point L,2003,11.96,34.59,6.41,8.24,0.15,1.93,0.06,0.22,1.38,388,10.22,1.93,NA,NA,NA
Point L,2004,12.74,34.75,6.29,8.14,0.23,0.7,0.08,0.1,2.24,321,22.4,2.66,NA,NA,NA
Point L,2005,12.72,34.81,6.8,8.15,0.57,3.51,0.13,0.2,2.81,290,8.835,2.46,NA,NA,NA
Point L,2006,14.53,34.76,6.37,8.14,0.19,0.68,0.11,0.14,1.37,218,9.775,1.67,NA,NA,NA
Point L,2007,13.9,34.669,6.33,8.2,0.755,2.43,0.22,0.24,4.25,128,12.17,1.49,NA,NA,NA
Point L,2008,9.52,34.71,6.895,8.02,0.19,3.55,0.19,0.09,1.26,167,9,2.99,NA,NA,NA
Point L,2009,12.6,34.715,5.9,8.21,0.31,0.04,0.09,0.2,1.07,237.733,2.61,2.33,6.29,-20.04,6.77
Point L,2010,8.2,34.92,6.56,8.17,0.16,1.69,0.19,0.26,0.79,181.65,2.8,1.45,8.125,-21.7,7.76
Point L,2011,11.33,34.8,6.4,8.17,0.17,2.31,0.1,0.28,0.81,156.955,1.45,0.95,7.655,-21.92,7.06
Point L,2012,12.72,34.9,6.4,8.21,0.15,1.03,0.22,0.52,1.11,220.9,1.27,1.21,8.434,-22.835,7.015
Point L,2013,11.2915,34.629,6.05,8.225,0.45,2.04,0.175,0.22,0.805,227.91,1.0775,2.245,6.738,-21.357,6.422
Point L,2014,12.77,34.79,6.06,8.155,0.1,1.58,0.14,0.17,1.8,151.65,1.1,1.43,6.2875,-21.075,7.205
Point L,2015,13.75,34.69,5.75,8.13,0.17,0.34,0.03,0.09,1.95,159,10.56,1.01,7.89,-22.172,7.55
Point L,2016,11.569,34.899,6.29,8.21,0.08,NA,NA,NA,NA,NA,6.12,0.96,NA,NA,NA
Portzic,1998,14.75,34.46,6.15,NA,0.98,3.8,0.155,0.025,4,195.15,NA,0.85,NA,NA,NA
Portzic,1999,13.8,34.59,6.02,NA,0.89,7.7,0.18,0.1,3.7,206.4,NA,0.99,NA,NA,NA
Portzic,2000,12.6,34.14,6.13,NA,1.14,10.5,0.24,0.21,4.9,182.3,NA,1,NA,NA,NA
Portzic,2001,13.7,34.86,6.1,NA,0.84,5.2,0.16,0.21,5.11,221.95,NA,1.27,NA,NA,NA
Portzic,2002,13.2,34.57,6.125,8.235,0.96,6.03,0.11,0.19,5.445,197.7,1.95,1.69,NA,NA,NA
Portzic,2003,13.2,34.8,5.72,8.205,0.66,3.26,0.22,0.12,4.55,170,2.59,0.86,NA,NA,NA
Portzic,2004,13.07,34.59,6.03,8.18,0.81,8.23,0.12,0.21,3.88,133.1,2.89,0.695,NA,NA,NA
Portzic,2005,13.59,34.885,6,8.17,0.36,2.04,0.16,0.24,3.14,130,2.07,0.51,NA,NA,NA
Portzic,2006,13.5,34.66,6.04,8.16,0.63,5.21,0.21,0.15,4.96,149.8,2.15,0.92,6.88,-21.085,6.58
Portzic,2007,13.811,34.774,6.06,8.22,0.74,3.865,0.22,0.26,3.005,178.5,2.21,0.81,6.79,-21.29,5.935
Portzic,2008,13.0975,34.5055,6.075,8.13,0.61,5.245,0.235,0.31,4.25,164.7,1.55,0.625,6.69,-21.45,6.5
