NOM_SITE,Annee,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
Eyrac,2015,15.229,33.594,5.785,7.99,0.982,6.65,0.2,0.11,7.725,341,3.29,1.645,5.815,-22.185,7.255
Eyrac,2016,13.877,32.674,5.825,7.99,0.869,NA,NA,NA,7.32,NA,3.585,1.62,5.485,-21.875,7.14
Frioul,1997,16.05,37.85,6.14,NA,0.225,0.64,0.19,1.6,2.27,211,NA,0.07,NA,NA,NA
Frioul,1998,14.72,37.812,5.83,NA,0.715,0.95,0.09,0.02,1.32,279,2.13,0.28,NA,NA,NA
Frioul,1999,14.96,37.88,5.6,NA,1.29,0.885,0.225,0.04,2.245,155.5,1.2,0.14,NA,NA,NA
Frioul,2000,16.35,38.111,5.745,NA,0.91,0.425,0.26,0.065,1.68,196,1.51,0.16,NA,NA,NA
Frioul,2001,16.19,38.097,5.64,NA,0.96,0.715,0.2,0.065,1.415,167,2.74,0.09,NA,NA,NA
Frioul,2002,16.275,37.898,5.59,NA,0.98,0.775,0.13,0.07,0.99,107.5,1.19,0.115,NA,NA,NA
Frioul,2003,15.495,38.045,5.59,NA,0.64,0.91,0.08,0.11,2.41,99,1.23,0.08,NA,NA,NA
Frioul,2004,16.63,38.195,6.01,NA,0.505,1.095,0.125,0.145,1.39,163.475,0.86,0.25,NA,NA,NA
Frioul,2005,17.62,38.3,6.08,NA,0.34,0.25,0.09,0.12,1.725,205,0.61,0.35,NA,NA,NA
Frioul,2006,17.266,38.291,6.26,NA,0.27,0,0.06,0.075,1.36,137.8,0.945,0.415,NA,NA,NA
Frioul,2007,16.802,38.113,5.65,NA,0.22,0.1,0,0.01,1.05,130,0.3,0.32,NA,NA,NA
Frioul,2008,17.1195,38.159,5.425,NA,0.205,0.31,0.035,0.05,1.44,58.1,0.6485,0.3,NA,NA,NA
Frioul,2009,16.41,37.988,5.31,NA,0.21,0.43,0.07,0.02,1.55,54.535,0.42,0.28,NA,NA,NA
Frioul,2010,17.108,38.002,5.32,NA,0.09,0.38,0.08,0.02,1.55,50.73,0.225,0.48,1.65,-22.78,5.31
Frioul,2011,16.7135,37.9895,5.59,8.22,0.125,0.115,0.015,0.02,1.345,61.56,0.2,0.235,2.615,-22.025,6.39
Frioul,2012,15.724,38.186,5.56,8.19,0.077,0.11,0,0.04,1.74,57.97,0.254,0.27,2.8,-21.6,6.79
Frioul,2013,15.187,38.117,5.6,8.2,0.086,0.51,0.05,0.06,2.29,51.1,0.2,0.44,3.58,-23.05,5.75
Frioul,2014,17.066,37.966,5.54,8.19,0.051,0.27,0.01,0.07,2.5,37.7,0.167,0.24,2.82,-23.23,6.44
Frioul,2015,15.776,38.056,5.57,8.2,0.08,0.43,0.03,0.05,1.92,35.805,0.18,0.28,1.96,-22.82,6.13
Frioul,2016,15.7425,38.174,5.58,8.17,0.069,0.43,0.035,0.03,1.98,44.77,0.1775,0.42,2.44,-22.89,6.33
Le Buron,2013,NA,NA,5.53,8.025,0.1825,0.2,0.03,0.125,3,158.598,0.87,0.805,6.78,-22.991,6.347
Le Buron,2014,9.843,34.581,6.33,8.03,0.2325,10.79,0.21,0.31,2.67,268.313,4.38,2.05,6.118,-22.016,6.5915
Luc-sur-Mer,2007,13.015,32.928,5.82,8.175,NA,10.91,0.325,0.46,9.75,NA,16.4,NA,NA,NA,NA
Luc-sur-Mer,2008,14.5785,32.9035,6.32,8.12,2.505,19.56,0.47,0.69,10.6,381.485,7,1.58,6.955,-22.181,7.696
Luc-sur-Mer,2009,12.3285,32.7035,6.025,8.14,NA,17.33,0.42,0.46,8.605,657.6535,8,2.82,6.46,-21.1,6.751
Luc-sur-Mer,2010,10.9195,32.776,6.52,8.215,2.531,26.51,0.43,0.415,16.18,432.928,5.4335,2.065,7.125,-21.5865,7.322
Luc-sur-Mer,2011,13.579,32.7035,5.73,8.2,1.853,17.875,0.38,0.52,11.41,329.854,3.0985,1.75,7.867,-21.855,6.799
Luc-sur-Mer,2012,11.893,32.591,6.21,8.14,0.775,23.605,0.51,0.75,8.215,443.133,7.1,2.165,8.725,-21.779,6.7575
Luc-sur-Mer,2013,11.44,31.9715,6.295,8.09,0.9385,29.885,0.58,0.535,18.965,412.8745,7.9665,1.67,6.9455,-22.154,7.1455
Luc-sur-Mer,2014,13.3345,32.677,6.105,8.1,0.708,14.36,0.395,0.32,9.885,344.373,8.4335,2.25,10.615,-21.5665,6.6605
Luc-sur-Mer,2015,12.347,32.442,6.06,8.05,0.98,18.19,0.38,0.59,9.89,211.711,3.75,1.27,11.672,-22.557,6.9625
Luc-sur-Mer,2016,14.037,32.389,6.41,8.08,0.59,19.685,0.45,0.2,8.37,363.221,3.4,2.88,NA,NA,NA
pk 30,1997,18.25,4.225,4.71,8.05,1.03,129.155,0.27,2.425,93.3,3525,294.075,4.745,NA,NA,NA
pk 30,1998,19.1,2,5.115,7.9,1.18,125.1,0.05,1.71,NA,3840,297.45,3.29,NA,NA,NA
pk 30,1999,16.2,1.08,5.22,7.91,4.12,128.1,0.83,1.52,47.3,6800,357.7,1.2,NA,NA,NA
pk 30,2000,16.375,0.825,4.94,7.99,1.275,124.035,0.17,1.47,105.95,4730,299.415,0.16,NA,NA,NA
pk 30,2001,16.04,0.77,4.75,7.95,1.89,114.33,0.06,1.04,45.37,1975,134.725,1.62,NA,NA,4.14
pk 30,2002,16.25,2.515,5.345,7.96,0.24,119.85,0.09,1.82,101.59,5540,369,1.44,NA,NA,11.655
pk 30,2003,17.075,3.065,4.855,7.88,0.57,130.36,0.16,2.15,122.255,4430,221.1,1.365,NA,NA,NA
pk 30,2004,19.25,2.43,5.1,7.93,0.335,130.25,0.06,3.42,113.935,3616,230,1.915,NA,NA,NA
pk 30,2005,17.625,4.055,5.34,7.905,0.595,120.45,0.135,3.65,82.75,3425,247.5,0.855,NA,NA,NA
pk 30,2006,19.205,3.855,5.52,7.94,0.52,147.4,0.09,2.05,131.14,4650,375,0.96,NA,NA,NA
pk 30,2007,18.1,1.54,6,8.03,0.3,122.9,0.09,2.41,133.2,4000,335,0.86,5.23,-25.25,8.27
pk 30,2008,14.705,1.015,6.14,7.895,0.775,94,0.235,2.44,133.8,2625,201,0.93,5.23,-25.48,8.01
pk 30,2009,19.4,3.22,5,8.01,0.44,124,0.12,2.45,121.6,3860,250,1.2,5.16,-25.34,8.705
pk 30,2010,15.495,0.965,5.655,7.985,0.41,127.5,0.115,1.805,130.8,4590,415,1.12,5.875,-25.175,8.45
pk 30,2011,19.79,5.905,5.11,7.975,0.365,141.05,0.21,2.86,119.9,5375,374,2.485,5.228,-25.124,8.17
pk 30,2012,17.235,4.67,5.425,7.95,0.6,119.9,0.12,1.41,130.1,3626,247,2.005,4.91,-25.04,8.66
pk 30,2013,16.535,0.265,6.07,7.75,0.5,128.5,0.38,1.17,140.42,3870,285.7065,1.875,5.0195,-25.545,8.395
pk 30,2014,17.36,2.06,5.48,7.895,1.1,154.03,0.09,1.625,123.4,4740,200.4165,2.01,4.9325,-25.3745,7.865
pk 30,2015,17.37,3.53,5.645,7.85,0.64,133.7,0.22,1.56,129,3687,271.76,2.47,4.28,-25.28,8.02
pk 30,2016,18.03,0.89,5.47,7.865,NA,NA,NA,NA,141.03,NA,245.467,1.67,3.765,-25.335,7.32
pK 52,1997,20.55,7.775,6.05,8.035,1.465,125.27,0.09,2.86,100.4,3445,242.45,6.68,NA,NA,NA
pK 52,1998,21.25,5.95,5.36,7.9,1.05,113.5,0.11,1.78,NA,3530,261.3,6.38,NA,NA,NA
pK 52,1999,18.75,3.35,5.33,7.97,7.54,130.6,0.21,1.52,25.7,3350,228,3.68,NA,NA,NA
pK 52,2000,18.71,4.92,5.235,8.015,1.11,107.765,0.18,1.765,98.265,5285,321.525,2.76,NA,NA,NA
pK 52,2001,19,4.32,5.15,7.96,3.97,125.835,0.1,1.595,54.01,3570,194.1,2.65,NA,NA,NA
pK 52,2002,16.715,7.06,5.61,7.98,0.11,114.91,0.05,1.435,90.99,3645,265.6,1.87,NA,NA,11.26
pK 52,2003,17.385,9.245,5.275,7.865,0.585,95.105,0.2,1.99,94.845,3730,304.75,1.615,NA,NA,NA
pK 52,2004,19.805,6.63,5.355,7.97,0.44,131.62,0.14,2.09,96.165,3263.5,207.5,1.72,NA,NA,NA
pK 52,2005,19.18,9.11,5.55,7.935,0.64,89.2,0.12,3.475,75.5,3825,250,1.43,NA,NA,NA
pK 52,2006,19.56,9.58,5.615,7.995,0.41,114,0.13,2.05,104.72,4125,317.5,0.985,NA,NA,NA
pK 52,2007,20.285,5.075,5.91,8.04,0.485,119.3,0.105,2.21,124.45,3960,305,1.295,5.64,-25.15,8.6
pK 52,2008,16.005,5.36,5.98,8.02,0.325,96.3,0.14,2.72,105.85,3500,266,1.16,4.825,-25.335,8.055
pK 52,2009,21.16,8.91,5.14,8.09,0.32,109.1,0.12,3.25,103.3,2810,151,1.49,4.98,-25.19,8.465
pK 52,2010,18.77,4.51,5.91,8.1,0.315,113.9,0.1,2.2,111.9,3220,229,2.76,5.69,-25.12,8.86
pK 52,2011,20.995,11.15,5.5,8.015,0.29,119.65,0.205,2.71,101.35,4100,257,2.775,5.4,-25.01,8.53
pK 52,2012,18.13,8.77,5.8,8.025,0.5,108.73,0.1,1.68,96.7,2791,319,2.905,4.58,-25.07,8.73
pK 52,2013,17.185,2.18,6.265,7.86,0.3,133.1,0.225,1.49,118.52,3313,278.572,1.88,5.305,-25.327,8.71
pK 52,2014,20.06,6.13,5.58,7.93,0.78,122.07,0.11,1.95,110.6,3513,205,3.73,5.78,-25.296,8.22
pK 52,2015,18.385,8.045,5.855,7.965,0.54,126.8,0.22,1.65,109.15,3017,190.417,3.69,5.07,-25.26,8.06
pK 52,2016,20.24,4.66,5.32,7.945,NA,NA,NA,NA,118.99,NA,240.7,2.565,5.36,-25.33,7.84
pK 67,1997,19.05,15.95,5.72,8.14,1.62,52.55,0.425,1.365,27.4,690,125,4.165,NA,NA,NA
pK 67,1998,17.9,22.55,5.245,8.04,1.51,30.4,0.29,0.5,NA,940,95,3.32,NA,NA,NA
pK 67,1999,17.65,20.875,5.52,8.015,3.285,103.3,0.41,0.82,45.3,855,68.455,0.42,NA,NA,NA
pK 67,2000,16,21.12,5.07,8.055,1.51,52.19,0.17,1.01,59.4,930,91,1.2,NA,NA,NA
pK 67,2001,17.7,18.31,4.775,7.995,1.635,25.32,0.32,0.56,22.565,860,53.9,2.1,NA,NA,NA
pK 67,2002,15.93,21.45,5.56,8.07,0.355,29.49,0.56,0.66,22.93,1060,100.89,1.99,NA,NA,16.63
pK 67,2003,16.33,23.95,NA,8.07,0.525,23.985,0.33,0.745,28.58,1540,97.93,1.91,NA,NA,NA
pK 67,2004,17,20.61,5.405,8.05,0.23,27.56,0.29,1.43,19.98,1493,79.2,2.04,NA,NA,NA
pK 67,2005,17.52,23.01,5.645,8.05,0.845,28.9,0.37,1.72,19.4,760,43.45,1.26,NA,NA,NA
pK 67,2006,17.96,24.15,5.62,8.11,1.41,40.92,0.46,0.97,30.98,695,65.8,1.135,NA,NA,NA
pK 67,2007,16.69,20.755,5.595,8.17,0.905,44.71,0.475,0.955,36.95,617.5,57,0.885,5.395,-24.655,8.605
pK 67,2008,17.27,19.835,5.635,8.185,1.595,42.6,0.355,1.145,41.5,570,46.85,1.25,5.245,-25.14,7.75
pK 67,2009,18.14,22.05,5.32,8.17,0.88,39.4,0.31,1.21,28,660,50.6,0.9,5.35,-24.78,8.14
