NOM_SITE,Annee,Mois,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
Antioche,2011,6,17.1,34.4,5.84,8.09,0.367,0.56,0.04,NA,1.86,237.22,1.624,2.47,5.28,-22.42,6.92
Antioche,2011,7,17.2,34.5,5.19,8.02,NA,1.825,0.16,0.17,5.38,172.985,2.42,1.65,6.29,-23.045,6.555
Antioche,2011,8,20.65,35.05,4.05,8.075,NA,1.05,0.035,0.065,1.6,184.565,1.136,4.03,4.3,-20.605,6.035
Antioche,2011,9,20.35,35.1,4.81,8.065,NA,1.115,0.11,0.2,4.685,145.845,3.014,1.39,6.175,-21.785,4.835
Antioche,2011,10,19.1,35.1,5.115,8.04,1.512,3.65,0.665,0.34,6.13,160.4,2.8545,1.885,6.875,-21.98,4.96
Antioche,2011,11,15.4,34.95,5.385,8.07,2.348,6.25,1.56,0.36,4.73,215.135,8.395,0.765,7.305,-21.84,5.21
Antioche,2011,12,14.3,34.7,5.71,8.09,NA,9.35,0.82,0.5,4.73,62.73,9.015,0.54,8.58,-22.91,5.83
Antioche,2012,1,8.8,32.75,6.34,8.005,0.9275,24.175,0.28,0.67,16.66,177.275,5.721,1.02,5.11,-23.155,7.62
Antioche,2012,2,6.7,33.65,6.915,7.99,0.49,21.745,0.225,0.49,12.795,197.045,3.426,1.915,4.705,-22.935,7.175
Antioche,2012,3,10.35,33.85,6.825,8.065,0.475,8.425,0.155,0.05,1.38,159.44,1.714,2.78,4.12,-20.305,5.73
Antioche,2012,4,11.3,34.3,6.49,8.09,NA,6.67,0.05,0,1.19,267.44,2.291,4.13,6.33,-18.49,6.84
Antioche,2012,5,14.9855,32.75,5.965,7.995,NA,16.77,0.21,0.05,7.985,261.905,2.35,2.18,5.095,-21.775,5.725
Antioche,2012,6,18.276,33.6765,5.49,8.03,0.954,6.55,0.215,0.08,4.9,238.17,3.8025,2.815,5.615,-21.915,5.54
Antioche,2012,7,19.399,33.8755,5.265,7.99,1.516,3.57,0.285,0.03,5.1,191.775,2.7865,2.605,6.05,-20.36,5.58
Antioche,2012,8,20.3565,34.5415,4.91,7.98,1.752,1.73,0.255,0.145,6.785,239.645,2.818,2.04,6.37,-21.465,5.9
Antioche,2012,9,18.3,34.9,4.8,7.9,1.442,1.96,0.38,0.16,6.54,203.33,2.593,1.34,6.2,-22.22,6.11
Antioche,2012,10,16.925,34.6825,5.295,7.97,3.09,6.395,0.61,0.355,10.965,153.81,3.6945,1.15,5.64,-22.285,5.975
Antioche,2012,11,13.35,34,5.705,7.995,1.631,14.04,1.5,0.435,13.125,195.93,7.0255,0.805,6.135,-22.56,6.945
Antioche,2012,12,10.4,33.3,6.26,8,0.297,20.82,0.46,0.26,12.61,276.86,14.82,0.48,6.52,-22.19,6.82
Antioche,2013,1,10.29,32.625,6.185,8.015,NA,26.475,0.335,0.455,16.295,250.71,14.1355,0.695,5.475,-22.88,7.52
Antioche,2013,2,9.28,31.595,6.51,8.025,NA,39.065,0.325,0.48,19.785,199.035,10.374,0.805,4.255,-22.8,7.455
Antioche,2013,3,7.807,33.342,6.59,8.01,NA,23.48,0.19,0.32,10.36,NA,4.907,1.43,NA,NA,NA
Antioche,2013,4,10.859,32.2735,6.23,8.055,NA,19.015,0.32,0.18,8.275,NA,4.178,0.94,NA,NA,NA
Antioche,2013,5,13.363,33.479,5.74,8,NA,17.93,0.46,0.14,8.34,152.48,3.178,1.22,2.15,-22.61,5.83
Antioche,2013,6,16.6225,32.94,5.705,8.105,NA,11.06,0.545,0.05,8.74,262.72,3.5655,2.095,4.01,-20.93,6.285
Antioche,2013,7,19.497,34.093,5.295,8.06,NA,3.59,0.305,0.015,4.37,284.495,1.1185,1.745,4.995,-20.775,6.78
Antioche,2013,8,18.8655,34.668,5.345,8.075,NA,1.165,0.06,0.005,5.82,348.495,1.84,3.235,5.475,-19.29,6.74
Antioche,2013,9,17.4105,34.6245,5.225,8.05,NA,1.285,0.075,0.02,7.805,346.715,2.485,3.94,4.15,-19.84,5.285
Antioche,2013,10,17.964,34.17,4.96,8.005,NA,5.92,0.405,0.27,8.68,302.57,6.121,0.89,3.19,-23.865,7.27
Antioche,2013,11,13.75,33.6365,5.715,8.015,1.707,21.08,1.975,0.615,16.695,312.485,11.6895,0.73,4.6,-24.16,6.75
Antioche,2013,12,9.606,33.372,6.33,8.06,NA,24.51,1.62,0.47,15.98,185.7,4.265,0.92,4.17,-25.35,7.91
Antioche,2014,1,10.577,32.596,6.24,8.045,NA,23.765,0.445,0.37,15.43,278.2,7.501,0.515,3.99,-26.26,8.585
Antioche,2014,2,10.529,30.804,6.32,8,NA,30.78,0.28,0.38,18.91,329.26,10.553,0.67,3.8,-26.15,7.93
Antioche,2014,3,11.0845,32.0345,6.395,8.015,NA,23.515,0.36,0.215,11.94,522.035,20.152,3.275,2.555,-24.86,7.33
Antioche,2014,4,12.464,32.376,6.02,8.105,NA,18.715,0.335,0.105,8.335,276.435,3.529,2.37,1.87,-24.25,6.035
Antioche,2014,5,14.35,33.6395,5.76,8.075,0.783,11.5,0.38,0.135,7.31,323.6,2.502,1.98,8.77,-23.07,6.46
Antioche,2014,6,16.5015,33.4905,5.6,8.115,0.177,9.35,0.36,0.05,7.465,330.43,2.1945,3.215,8.44,-21.48,5.95
Antioche,2014,7,18.337,34.2365,4.91,8.11,0.498,2.8,0.2,0.055,13.555,200.45,1.6825,1.38,4.57,-21.97,6.355
Antioche,2014,8,19.334,34.3585,5.34,8.08,0.3255,1.265,0.165,0.05,3.565,531.08,1.8905,5.265,6.54,-22.785,8.52
Antioche,2014,9,19.75,34.402,4.96,8.16,0.294,0.63,0.13,0.05,3.89,195.02,1.5,2.13,6.16,-20.83,5.43
Antioche,2014,10,17.275,34.0065,5.025,8.065,0.939,3.47,0.815,0.235,7.34,NA,6.175,1.04,NA,NA,NA
Antioche,2014,11,15.1625,33.921,5.41,8.095,NA,7.505,1.625,0.355,8.375,NA,16.3015,0.745,NA,NA,NA
Antioche,2014,12,11.962,33.842,5.94,8.1,NA,14.93,0.9,0.48,11.33,NA,6.585,0.59,NA,NA,NA
Antioche,2015,1,9.9745,32.631,6.43,8.085,0.3845,23.17,0.31,0.52,15.965,128.53,4.3045,0.63,2.24,-23.05,4.91
Antioche,2015,2,8.531,32.614,6.62,8.02,0.654,23.78,0.23,0.43,15.3,324.82,14.048,1.38,3.78,-22.87,5.27
Antioche,2015,3,9.927,32.0515,6.515,8.08,1.328,19.135,0.245,0.25,11.295,247.63,5.77,1.625,6.335,-22.185,5.525
Antioche,2015,4,12.143,33.287,6.26,8.055,1.748,13.055,0.25,0.09,6.265,223.675,2.144,2.185,6.385,-22.93,5.69
Antioche,2015,5,15.162,32.3555,6.35,8.075,0.727,9.865,0.18,0.06,2.715,455.7,2.8935,5.34,11.13,-20.9,6.645
Antioche,2015,6,15.8845,34.3115,5.45,8.03,1.326,5.725,0.395,0.06,5.135,301.46,3.419,2.62,7.995,-21.87,5.725
Antioche,2015,7,17.9675,34.827,5.63,8.07,0.6265,1.095,0.15,0.06,5.725,314.41,2.467,2.36,5.33,-20.92,5.665
Antioche,2015,8,17.8165,35.0805,5.435,8.04,0.5015,0.725,0.135,0.1,6.78,1831.625,15.105,2.565,6.01,-21.74,8.46
Antioche,2015,9,19.2625,34.3615,5.43,8.075,1.478,2.26,0.33,0.24,6.24,132.2,2.6815,1.235,4.145,-22.265,5.555
Antioche,2015,10,16.673,34.3455,5.355,8.095,0.756,3.395,0.61,0.21,6.055,164.515,2.3605,1.145,4.47,-22.65,5.865
Antioche,2015,11,15.1685,34.144,5.51,8.055,0.6,6.455,1.11,0.27,6.58,240.03,5.6595,1.215,5.32,-22.59,7.025
Antioche,2015,12,13.624,34.192,5.79,8.03,0.057,9.84,1.82,0.45,8.65,268.8,11.965,0.63,5.43,-21.5,7.45
Antioche,2016,1,10.409,32.891,6.275,8.05,0.0465,22.175,0.22,0.525,16.065,NA,6.4365,0.64,5.81,NA,NA
Antioche,2016,2,9.421,30.239,6.41,8.05,0.7005,101.765,0.5,0.715,28.115,395.215,11.321,0.925,4.92,-24.505,11.9855
Antioche,2016,3,10.673,32.759,6.405,8.045,0.17,48.785,0.285,0.37,9.725,532.215,13.62,3.46,3.33,-23.395,11.2915
Antioche,2016,4,11.8905,32.655,6.03,8.055,0.8995,34.195,0.3,0.15,6.01,245.635,4.1565,1.69,2.815,-22.58,5.263
Antioche,2016,5,14.8535,32.8395,5.96,8.045,0.65,20.865,0.33,0.06,5.76,371.865,1.6445,2.88,5.625,-21.935,5.57
Antioche,2016,6,17.5115,33.0295,5.565,8.095,0.385,11.22,0.33,0.045,3.585,363.94,1.6585,4.13,5.31,-21.64,6.685
Antioche,2016,7,19.0065,33.702,5.24,8.21,0.54,2.08,0.165,0.075,2.345,NA,2.153,3.02,NA,NA,NA
Antioche,2016,8,18.95,34.5,5.025,8.025,1.3,1.63,0.18,0.125,7.645,NA,1.6105,1.65,NA,NA,NA
Antioche,2016,9,18.1,34.8,5.04,8.015,0.94,1.555,0.185,0.13,6.055,NA,NA,NA,NA,NA,NA
Antioche,2016,10,16.95,34.95,5.105,8.025,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antioche,2016,11,13.8835,34.6,5.565,7.975,NA,NA,NA,NA,8.875,NA,1.384,1.17,NA,NA,NA
Antioche,2016,12,10.45,34.35,6.065,7.965,NA,NA,NA,NA,10.63,NA,NA,NA,NA,NA,NA
Astan,2000,2,13.35,34.9525,6.345,NA,0.115,14.27,0.265,0.425,5.365,NA,NA,0.2,NA,NA,NA
Astan,2000,3,10.3,34.9845,6.38,NA,0.185,12.865,0.305,0.43,5.11,NA,NA,0.335,NA,NA,NA
Astan,2000,4,10.425,35.039,6.145,NA,0.43,8.565,0.23,0.225,2.68,NA,NA,0.26,NA,NA,NA
Astan,2000,5,11.9,34.872,5.89,NA,0.8,4.765,0.28,0.11,2.1,NA,NA,0.965,NA,NA,NA
Astan,2000,6,13.4,34.857,5.965,NA,0.67,4.97,0.285,0.09,2.855,NA,NA,0.485,NA,NA,NA
Astan,2000,7,14.525,35.033,5.745,NA,0.59,2.695,0.265,0.095,2.185,NA,NA,1.02,NA,NA,NA
Astan,2000,8,15.95,35.463,5.91,NA,0.495,1.74,0.365,0.165,2.425,NA,NA,0.585,NA,NA,NA
Astan,2000,9,15.275,35.3495,4.98,NA,0.49,4.25,0.61,0.3,3.895,NA,NA,0.525,NA,NA,NA
Astan,2000,10,14.6,35.334,5.5,NA,0.135,6.07,0.76,0.465,4.11,NA,NA,0.31,NA,NA,NA
Astan,2000,11,12.65,35.3125,5.76,NA,0.055,8.945,0.385,0.63,4.805,NA,NA,0.37,NA,NA,NA
Astan,2000,12,11.95,35.146,5.905,NA,0.05,9.99,0.22,0.56,4.83,NA,NA,0.225,NA,NA,NA
Astan,2001,1,10.925,34.254,5.965,8.165,0.075,13,0.135,0.355,7.415,NA,1.35,0.255,NA,NA,NA
Astan,2001,2,10.9,34.2675,6.11,8.075,0.065,13.6,0.13,0.375,6.525,NA,1.85,0.245,NA,NA,NA
Astan,2001,3,10.425,34.2685,6.065,8.08,0.115,14.25,0.335,0.405,6.1,117,1.8,0.345,NA,NA,NA
Astan,2001,4,11.425,34.7155,6.09,8.155,0.26,7.2,0.73,0.38,2.86,130.45,4.45,0.28,NA,NA,NA
Astan,2001,5,12.15,34.845,6.12,8.15,0.28,4.9,0.98,0.28,2.53,169.9,5.9,0.81,NA,NA,NA
Astan,2001,6,14.3,35.2495,6.13,8.21,0.165,0.15,0.215,0.12,1.015,220.5,3,2.34,NA,NA,NA
Astan,2001,7,15.9,35.2805,5.915,8.195,0.4,0.75,0.26,0.095,2.465,327.8,3.45,1.31,NA,NA,NA
Astan,2001,8,16.3,35.2835,5.71,8.13,0.28,1.35,0.21,0.1,2.7,284,6.1,1.515,NA,NA,NA
Astan,2001,9,15.675,35.3425,5.56,8.045,0.515,2.95,0.45,0.17,3,116.2,3.7,0.63,NA,NA,NA
Astan,2001,10,14.95,35.414,5.47,8.14,0.07,5.2,0.995,0.245,3.7,114.15,4.2,0.495,NA,NA,NA
Astan,2001,11,13.45,35.346,5.8,8.035,0.285,7.15,0.755,0.27,4.35,199.45,3.55,0.58,NA,NA,NA
Astan,2001,12,12.35,35.3485,5.99,8.06,0.055,7.8,0.165,0.28,4.1,142.4,5.6,0.275,NA,NA,NA
Astan,2002,1,10.325,35.346,6.23,8.08,0.04,8.7,0.19,0.29,4.05,96.96,4.3,0.395,NA,NA,NA
Astan,2002,2,10.44,35.283,6.79,8.145,0.075,9.35,0.225,0.34,4.1,210.155,15.6,0.405,NA,NA,NA
Astan,2002,3,10.475,35.31,6.275,8.16,0.08,9.65,0.225,0.34,3.95,134.47,6.5,0.59,NA,NA,NA
Astan,2002,4,11.275,35.229,6.32,8.08,0.2,7.95,0.25,0.27,2.45,196.545,5.55,0.95,NA,NA,NA
Astan,2002,5,12.385,35.1025,6.45,8.21,0.29,2.95,0.17,0.08,1.35,229.32,5.35,3.8,NA,NA,NA
Astan,2002,6,13.225,35.145,5.94,8.17,1.05,1.85,0.165,0.075,2.2,100.57,4.75,1.1,NA,NA,NA
Astan,2002,7,14.65,35.1905,5.97,8.11,0.75,0.7,0.065,0.025,0.85,90.02,4.85,0.71,NA,NA,NA
Astan,2002,8,15.4,35.28,5.76,8.16,0.735,1.25,0.195,0.14,1.95,110.015,4.75,1.09,NA,NA,NA
Astan,2002,9,16.39,35.27,5.58,8.14,0.66,1.4,0.31,0.12,2.5,100.995,1.75,2.145,NA,NA,NA
Astan,2002,10,14.65,35.346,5.63,8.15,0.14,4.4,0.66,0.24,3.6,86.45,3.05,1.05,NA,NA,NA
Astan,2002,11,13.425,35.307,5.665,8.14,0.16,6.85,0.31,0.325,3.5,90.265,3.4,0.59,NA,NA,NA
Astan,2002,12,11.7,35.252,5.92,8.14,0.1,9.4,0.2,0.31,4.3,63.89,4.3,0.42,NA,NA,NA
Astan,2003,1,10.22,35.068,6.22,8.21,0.05,10.2,0.13,0.38,5,59.155,29.2,0.47,NA,NA,NA
Astan,2003,2,9.685,34.9305,6.335,8.125,0.095,10.5,0.16,0.36,4.95,96.336,3.2,0.71,NA,NA,NA
Astan,2003,3,10.05,34.898,6.38,8.1,0.14,10.35,0.255,0.39,4.45,133.4255,3.4,0.775,NA,NA,NA
Astan,2003,4,10.79,34.7635,6.38,8.135,0.14,9,0.29,0.27,4.35,114.014,1.8,1.38,NA,NA,NA
Astan,2003,5,12.095,34.711,6.345,8.23,0.48,3.4,0.225,0.17,2.4,277.0535,6.9,4.73,NA,NA,NA
Astan,2003,6,13.925,34.8655,6.04,8.235,1.165,2.2,0.26,0.155,1.95,184.84,2.85,2.945,NA,NA,NA
Astan,2003,7,15.225,35.085,5.82,8.12,0.9,1.35,0.205,0.155,2.4,113.203,4,1.36,NA,NA,NA
Astan,2003,8,16.475,35.2585,5.785,8.13,0.48,1,0.205,0.16,3.4,262.628,3.75,1.785,NA,NA,NA
Astan,2003,9,15.775,35.394,5.41,8.06,0.265,3.65,0.75,0.23,3.45,130.6655,6.65,0.975,NA,NA,NA
Astan,2003,10,15.27,35.429,5.375,8.07,0.195,4.8,1.04,0.22,3.55,144.1355,4.7,0.71,NA,NA,NA
Astan,2003,11,13.385,35.4805,5.64,8.1,0.1,5.7,0.51,0.285,3.3,148.67,4.3,0.615,NA,NA,NA
Astan,2003,12,12.09,35.483,5.86,8.02,0.08,7.55,0.245,0.29,3.95,101.7535,4.15,0.43,NA,NA,NA
Astan,2004,1,10.58,35.336,5.97,8.04,0.09,6.9,0.165,0.25,3.85,118.25,3.25,0.585,NA,NA,NA
Astan,2004,2,10.48,35.197,6.2,8.02,0.09,7.7,0.18,0.31,3.6,67.1,4.7,0.59,NA,NA,NA
Astan,2004,3,9.55,35.077,6.32,8.02,0.1,8.3,0.24,0.23,3.4,100.9,6.6,0.8,NA,NA,NA
Astan,2004,4,10.62,34.81,6.6,8.14,0.29,6.2,0.22,0.1,1.3,121.7,2.4,1.81,NA,NA,NA
Astan,2004,5,11.93,34.914,6.22,8.05,0.425,4.05,0.2,0.075,1.4,126.7,5.05,1.075,NA,NA,NA
Astan,2004,6,13.845,35.1245,6.09,8.05,0.71,2.5,0.205,0.075,2.3,122.6,19.65,0.83,NA,NA,NA
Astan,2004,7,15,35.1595,5.805,8.075,0.65,2.25,0.255,0.085,2.25,142.8,14.2,1.68,NA,NA,NA
Astan,2004,8,15.61,35.29,5.74,8.025,0.48,1.45,0.34,0.095,2.1,157.95,10.05,0.89,NA,NA,NA
Astan,2004,9,16.19,35.3915,5.47,8.035,0.34,2.7,0.405,0.155,3.25,161.6,23.4,1.78,NA,NA,NA
Astan,2004,10,14.995,35.395,5.48,8.01,0.17,5.35,0.96,0.24,3.65,172.9,1.95,0.705,NA,NA,NA
Astan,2004,11,13.525,35.3415,5.625,8.035,0.08,5.65,0.58,0.3,3.3,99.8,2.8,0.605,NA,NA,NA
Astan,2004,12,12.325,35.288,5.815,8.03,0.055,7.05,0.175,0.335,4.25,94.5,5.35,0.41,NA,NA,NA
Astan,2005,1,11.16,35.284,6.09,8.065,0.07,8.1,0.18,0.45,4.5,180.7,10.75,0.465,NA,NA,NA
Astan,2005,2,10.15,35.2735,6.27,8.03,0.05,8.9,0.18,0.415,4.6,137.45,2.9,0.49,NA,NA,NA
Astan,2005,3,9.3,35.334,6.39,8.07,0.125,7.2,0.175,0.335,3.3,69.15,3.3,0.675,NA,NA,NA
Astan,2005,4,10.675,35.3855,6.56,8.115,0.225,3.3,0.145,0.19,1.3,123.45,2.95,2.14,NA,NA,NA
Astan,2005,5,11.9,35.31,6.47,8.11,0.47,0.6,0.08,0.19,0.8,98.9,2.6,1.8,NA,NA,NA
Astan,2005,6,13.985,35.301,6.105,8.105,0.48,0.9,0.12,0.14,1.45,129.7,1.95,1.18,NA,NA,NA
Astan,2005,7,15.2,35.313,5.99,8.075,0.495,0.7,0.1,0.105,1.1,183.6,1.45,1.265,NA,NA,NA
Astan,2005,8,16.2,35.308,5.885,8.09,0.105,0.3,0.08,0.105,1.8,196,1.3,1.72,NA,NA,NA
Astan,2005,9,15.015,35.3245,5.395,8.065,0.34,3.25,0.695,0.305,2.75,107.75,1.6,0.595,NA,NA,NA
Astan,2005,10,14.475,35.335,5.41,8.03,0.235,4.5,0.615,0.375,3.5,102.55,4.8,0.46,NA,NA,NA
Astan,2005,11,13.26,35.34,5.74,8.065,0.225,5.85,0.41,0.395,3.75,132.7,2.55,0.4,NA,NA,NA
Astan,2005,12,11.8,35.368,5.89,8.075,0.055,6.7,0.14,0.36,4.1,83.65,15.35,0.145,NA,NA,NA
Astan,2006,1,10.2,NA,6.56,8.1,0.14,8.2,0.21,0.42,4.4,180.3,2.9,0.32,NA,NA,NA
Astan,2006,2,9.29,35.364,6.395,8.025,0.11,8.6,0.205,0.355,4,82.6,20.4,0.505,NA,NA,NA
Astan,2006,3,8.725,35.3575,6.405,8.03,0.145,9.45,0.25,0.3,4.45,88.85,3.45,0.72,NA,NA,NA
Astan,2006,4,9.59,35.1125,6.51,8.04,0.165,8.7,0.2,0.205,4.4,98.25,3.2,1.055,NA,NA,NA
Astan,2006,5,11.025,34.9915,6.535,8.1,0.425,5.4,0.16,0.125,2.25,110.15,1.45,1.245,NA,NA,NA
Astan,2006,6,13,35.173,6.36,8.105,0.335,1.95,0.115,0.1,1.95,226.75,5.6,2.525,NA,NA,NA
Astan,2006,7,14.5,35.2895,6.035,8.05,1.19,1.5,0.155,0.145,2.05,136.55,3.1,0.955,NA,NA,NA
Astan,2006,8,15.15,35.3655,5.64,8.05,0.705,1.7,0.34,0.14,1.75,128.55,3,0.89,NA,NA,NA
Astan,2006,9,15.25,35.3995,5.47,8.01,0.49,2.8,0.59,0.2,2.15,115.9,2.1,0.685,NA,NA,NA
Astan,2006,10,15.5,35.392,5.3,8,0.41,3.6,0.55,0.26,2.7,83.1,2.7,0.7,NA,NA,NA
Astan,2006,11,14.975,35.3285,5.4,8.045,0.06,4.9,0.61,0.225,3.1,104.4,3.65,0.53,NA,NA,NA
Astan,2006,12,13.7,35.261,5.68,8.09,0.07,6.2,0.16,0.26,3.3,89.3,3.6,0.27,NA,NA,NA
Astan,2007,1,11.95,35.314,5.99,8.065,0.125,7.95,0.18,0.29,3.95,101.75,4.9,0.35,NA,NA,NA
Astan,2007,2,11.15,35.341,6.025,8.055,0.095,8.95,0.18,0.325,3.55,101.95,4.25,0.565,NA,NA,NA
Astan,2007,3,11.2,35.329,6.15,8.07,0.14,9.5,0.11,0.39,3.5,65.55,2.2,0.655,NA,NA,NA
Astan,2007,4,11.725,35.345,6.265,8.055,0.185,7.7,0.105,0.31,2.15,109.8,2.5,0.785,NA,NA,NA
Astan,2007,5,12.985,35.341,6.03,8.06,0.405,3.45,0.04,0.155,2.05,108.45,2.6,0.765,NA,NA,NA
Astan,2007,6,14.025,35.331,5.925,8.09,0.79,2.35,0.045,0.14,2.05,91.85,1.9,0.8,NA,NA,NA
Astan,2007,7,15.35,35.335,5.66,8.08,0.445,1.8,0.045,0.135,2.05,131.45,1.55,0.945,NA,NA,NA
Astan,2007,8,16.32,35.308,5.785,8.1,0.27,0.75,0.025,0.135,1.65,214.65,2.5,2.34,NA,NA,NA
Astan,2007,9,16.3,35.3345,5.455,8.055,0.385,2.6,0.295,0.225,2.3,109.75,3.5,0.89,NA,NA,NA
Astan,2007,10,14.9,35.385,5.425,8.04,0.125,5,0.535,0.345,3.75,71.5,1.75,0.665,NA,NA,NA
Astan,2007,11,13.45,35.395,5.6,8.05,0.095,5.3,0.34,0.385,3.5,82.6,1.85,0.55,NA,NA,NA
Astan,2007,12,11.75,35.3895,5.995,8.03,0.15,8.55,0.295,0.515,5,172.85,6.35,0.45,NA,NA,NA
Astan,2008,1,10.6,35.416,6.08,8.07,0.075,8.5,0.09,0.425,3.7,107.65,7.2,0.405,NA,NA,NA
Astan,2008,2,10.2,35.337,6.26,8.03,0.14,9.5,0.13,0.46,3.6,92.4,3.3,0.74,NA,NA,NA
Astan,2008,3,10.2,34.968,6.22,8.03,0.12,10.2,0.23,0.41,5.9,144.2,2.2,0.99,NA,NA,NA
Astan,2008,4,10.65,35.12,6.24,8,0.17,9.6,0.26,0.46,5,132.2,4.2,1.08,NA,NA,NA
Astan,2008,5,12.675,35.26,6.395,8.08,0.555,2.05,0.1,0.16,1.55,170.85,2.5,1.63,NA,NA,NA
Astan,2008,6,14.525,35.0155,5.88,8.095,0.58,2.25,0.4,0.145,2,127.05,2.8,1.225,NA,NA,NA
Astan,2008,7,14.95,35.1145,5.64,8.06,0.5,2.9,0.445,0.23,1.95,128.3,5.65,0.92,NA,NA,NA
Astan,2008,8,15.475,35.1905,5.49,8.025,0.425,3.55,0.62,0.3,2.45,169.2,3.95,0.81,NA,NA,NA
Astan,2008,9,15.55,35.2175,5.455,8.02,0.205,4.5,0.725,0.365,2.85,140.25,2.55,1.19,NA,NA,NA
Astan,2008,10,14.875,35.252,5.505,8.005,0.125,5.9,0.45,0.425,2.95,125.55,2,0.685,NA,NA,NA
Astan,2008,11,13.4,35.2325,5.685,8.03,0.11,6.85,0.22,0.445,3.05,126,3.1,0.495,NA,NA,NA
Astan,2008,12,11.565,35.2075,6.02,8.03,0.13,8,0.15,0.49,3.2,189.85,5,0.73,NA,NA,NA
Astan,2009,1,9.39,35.2625,6.355,8.055,0.135,9.3,0.145,0.505,3.45,156.6,4.9,0.7,5.65,-22.525,8.37
Astan,2009,2,8.85,35.066,6.315,8.005,0.15,10.25,0.15,0.505,5.6,94.5,2.45,0.705,4.68,-75.28,17.06
Astan,2009,3,9.45,34.881,6.27,8.025,0.175,10.25,0.17,0.435,6.15,112.35,2.75,0.97,6.905,-23.755,6.155
Astan,2009,4,10.165,34.967,6.495,8.07,0.295,8.4,0.205,0.335,3.85,158.2,2.6,1.485,7.515,-21.805,5.345
Astan,2009,5,11.675,35.0995,6.45,8.095,0.88,2.75,0.145,0.175,2.05,163.1,3.7,1.845,7.7,-23.695,5.21
Astan,2009,6,13.3,35.2385,6.18,8.065,0.71,2.65,0.19,0.27,2.65,146.5,3.5,1.09,7.05,-22.47,5.16
Astan,2009,7,15,35.323,5.96,8.07,0.58,0.9,0.15,0.2,1.9,123,1.1,1.55,6.99,-22.83,6.64
Astan,2009,8,15.8,35.3245,5.495,8.03,0.57,2.65,0.535,0.25,2.2,127.8,3.55,1.055,9.195,-28.46,5.845
Astan,2009,9,16.525,35.2875,5.495,8.025,0.4,3.2,0.575,0.285,3.3,113,1.35,1.245,9.05,-23.045,5.725
Astan,2009,10,15.325,35.32,5.395,8.02,0.22,5.95,0.52,0.405,3.15,78,2.55,0.59,6.725,-22.41,6.32
Astan,2009,11,13.075,35.2745,5.785,8.045,0.135,7.8,0.305,0.495,4.2,303.75,6.1,0.785,6.555,-21.335,6.92
Astan,2009,12,11.55,35.2125,5.945,8.07,0.095,8.65,0.11,0.475,4,179.35,2.5,0.45,7.745,-21.945,6.245
Astan,2010,1,9.275,35.1965,6.265,8.035,0.1,10,0.14,0.39,4.25,88.1095,2.65,0.415,6.9655,-22.295,7.3705
Astan,2010,2,9,35.132,6.315,8.075,0.27,10.25,0.16,0.335,4.7,72.2555,1.95,0.355,6.8425,-23.362,7.2815
Astan,2010,3,8.65,34.9515,6.58,8.04,0.265,10.6,0.185,0.295,4.65,92.832,1.7,0.595,6.507,-22.697,6.2825
Astan,2010,4,9.765,34.91,6.465,8.035,0.34,7.5,0.16,0.205,2.8,41.616,0.75,0.51,5.867,-22.322,6.212
Astan,2010,5,11.15,34.9895,6.32,8.07,1.22,4.6,0.205,0.16,2.435,64.1555,0.85,0.625,5.6135,-23.109,6.3335
Astan,2010,6,13.225,35.1255,6.16,8.07,0.715,2.495,0.23,0.26,2,104.9095,1.3,1.815,7.083,-22.569,5.5595
Astan,2010,7,14.65,35.256,6.06,8.07,0.55,1.57,0.21,0.19,1.65,85.5785,2.9,1.89,5.0685,-23.1035,6.2555
Astan,2010,8,15.91,35.3645,5.73,8.035,0.5,1.8,0.32,0.15,2.45,143.489,2.9,2.425,6.8405,-23.054,6.127
Astan,2010,9,15.6,35.3885,5.445,8.025,0.45,3.55,0.565,0.285,2.65,120.003,1.7,1.345,6.7895,-22.511,6.328
Astan,2010,10,14.4,35.385,5.47,8.04,0.4,6,0.74,0.4,3.1,118.772,1,0.52,8.538,-22.4,5.952
Astan,2010,11,12.725,35.3015,5.71,8.03,0.23,7.55,0.46,0.435,3.9,NA,2,0.43,6.455,-21.49,7.435
Astan,2010,12,10.7,35.196,5.99,8.03,0.1,9.6,0.17,0.42,12.8,NA,1.5,0.35,7.11,-21.84,8.73
Astan,2011,1,9.6,35.2515,6.315,7.98,0.125,8.64,0.17,0.435,4.09,92.785,1.15,0.47,7.38,-22.7,6.135
Astan,2011,2,9.7,35.21,6.335,7.945,0.115,9.915,0.185,0.41,4.565,102.695,2.4,0.51,7.115,-22.64,6.64
Astan,2011,3,9.845,35.0505,6.405,7.93,0.2,9.915,0.2,0.36,4.615,83.565,1.5,0.575,5.61,-23.63,6.515
Astan,2011,4,11.395,35.0725,6.85,7.96,0.17,7.895,0.2,0.27,3.735,80.19,2,0.825,6.09,-21.55,6.16
Astan,2011,5,13.14,35.175,6.305,8.075,0.715,2.43,0.135,0.105,1.555,136.47,0.95,0.99,7.1,-22.3,5.685
Astan,2011,6,14.06,35.263,5.99,8.025,0.51,2.2,0.245,0.14,2.35,121.89,1.05,0.975,5.925,-22.93,6.68
