NOM_SITE,Annee,Mois,Temperature,Salinite,Oxygene,pH,NH4,NO3,NO2,PO4,SiO4,COP,MES,CHLA,DN15,DC13,CN
pK 52,2013,6,18.6,1.5,5.16,8.01,0.1,148.9,0.16,1.29,130.4,3276,233.837,1.6,5.564,-25.374,9.395
pK 52,2013,7,22.49,4.29,4.88,7.9,0.17,93.4,0.02,1.69,114.86,1596,115.667,1.29,5.47,-25.5,8.97
pK 52,2013,8,24.87,10.28,5.06,7.86,NA,84.1,1.17,2.64,100.91,2691,276.094,6.93,5.48,-25.6,10.17
pK 52,2013,9,21.95,13.39,5.02,7.63,NA,75.16,0.52,1.77,92.13,1959,153.8,3.11,5.36,-25.13,8.94
pK 52,2013,10,20.53,18.68,5.93,7.73,NA,89.97,0.11,2.12,103.51,3954,286.3,4.49,4.93,-25.07,8.66
pK 52,2013,11,11.1,1.8,7.17,7.84,2.4,141.9,0.23,2.27,136.3,4588,302.6,1,4.99,-25.41,7.95
pK 52,2014,1,8.99,1.65,6.88,7.93,0.6,159.1,0.12,1.95,140.8,10679,707.667,1.58,5.95,-25.06,8.55
pK 52,2014,3,11.76,1.23,7.24,7.9,0.53,235,0.1,1.27,141.2,3135,357.867,1.12,3.54,-25.65,7.66
pK 52,2014,5,17.06,2.35,5.8,7.78,1.19,201.5,0.05,1.34,72.7,515,167.625,1.13,5.23,-25.36,7.4
pK 52,2014,6,21.65,5.19,4.8,7.93,0.2,179.2,0.11,1.63,105.7,3520,167.8,2.41,14.728,-25.268,6.011
pK 52,2014,7,24.04,6.13,5.16,7.94,1.22,122.07,0.07,1.67,109.5,2992,207.2,3.73,4.516,-25.296,8.868
pK 52,2014,8,22.75,6.81,5.26,7.98,1.39,116.53,0.05,2.12,120,3772.8,205,4.29,5.848,-25.336,8.22
pK 52,2014,9,22.35,9.16,5.36,8.01,0.88,106.96,0.16,2.34,111.7,3513,165.05,5.56,5.7,-25.24,8.25
pK 52,2014,10,20.06,8.55,NA,7.91,0.61,112.59,0.15,2.24,NA,1953.05,203.5,4.54,6.153,-25.264,7.94
pK 52,2014,11,13.85,6.92,5.95,7.96,0.78,120.7,0.15,1.98,105.96,12264,643.2,3.73,5.78,-25.338,9.612
pK 52,2015,1,8.56,3.72,7.8,8.07,2.41,139.2,0.14,1.4,121.1,3888,132,1.53,5.64,-25.22,8.01
pK 52,2015,3,9.5,0.25,6.97,7.75,3.52,149.7,1.4,0.92,118.1,6741,424.429,2.7,NA,NA,NA
pK 52,2015,4,14.17,4.06,6.28,7.83,0.82,136.2,0.22,1.76,115.1,3196,219.53,NA,6.05,-25.38,8.06
pK 52,2015,5,18.18,3.03,5.96,7.97,0.54,126.8,0.11,1.56,110.4,2742,190.417,1.66,4.21,-25.31,8.45
pK 52,2015,6,21.31,7.06,4.95,7.89,0.1,105.7,0.05,2.45,113.9,2474,158.2,2.78,5.64,-25.26,8.77
pK 52,2015,7,25.07,9.64,5.15,8.03,0.39,103.3,0.23,1.7,107.9,2838,NA,15.23,4.42,-25.58,7.99
pK 52,2015,8,23.75,11.92,5.56,7.96,0.44,96.8,0.64,1.65,78.8,1414,58.76,11.67,5.07,-24.99,7.03
pK 52,2015,9,22.61,11.37,4.7,7.92,NA,NA,NA,NA,91.9,2669,147.15,5.17,4.79,-25.05,8.49
pK 52,2015,10,18.59,9.43,5.78,8.03,NA,NA,NA,NA,99.32,5531,359.333,3.69,4.73,-25.02,8.26
pK 52,2015,11,15.36,9.03,5.93,7.99,NA,NA,NA,NA,89.1,3374,228.87,3.83,6.23,-25.31,8.05
pK 52,2016,2,10.15,0.98,7.46,7.98,NA,NA,NA,NA,144.24,NA,396.1,NA,NA,NA,NA
pK 52,2016,3,10.15,0.98,7.46,7.98,NA,NA,NA,NA,144.24,NA,396.1,1.61,4.95,-25.39,7.91
pK 52,2016,4,14,3.46,6.94,7.89,NA,NA,NA,NA,108.56,NA,901.333,2.86,6.29,-25.57,8.64
pK 52,2016,5,17.06,4.66,5.83,7.93,NA,NA,NA,NA,113.83,NA,309.833,1.98,4.97,-25.3,8.3
pK 52,2016,6,20.24,2.55,4.93,7.84,NA,NA,NA,NA,127.97,NA,208,1.2,3.92,-25.28,7.19
pK 52,2016,7,23,6.23,4.44,7.93,NA,NA,NA,NA,124.58,NA,127.68,2.27,6.03,-25.36,7.77
pK 52,2016,8,23.7,11.47,5.32,8.04,NA,NA,NA,NA,100.87,NA,56.3,3.22,9.31,-25.38,7.15
pK 52,2016,9,25.1,12.34,4.7,NA,NA,NA,NA,NA,101.9,NA,177.267,7.52,5.38,-25.22,7.58
pK 52,2016,10,21.05,11.48,4.44,7.96,NA,NA,NA,NA,118.99,NA,240.7,6.19,5.34,-25.26,8.59
pK 67,1997,1,6.9,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pK 67,1997,3,11.65,12.55,7.2,NA,1.23,65.3,0.48,0.99,NA,NA,NA,0.89,NA,NA,NA
pK 67,1997,4,14.1,15.4,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,NA,NA,NA
pK 67,1997,5,15,15.7,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA
pK 67,1997,6,19.85,19.4,5.75,NA,0.85,32.4,0.21,1.24,NA,NA,190,2.49,NA,NA,NA
pK 67,1997,7,20,18.95,5.53,NA,2.615,66.7,0.32,1.545,27.4,690,259,9.12,NA,NA,NA
pK 67,1997,9,21.4,19.4,6.12,8.15,11.2,38.95,0.89,1.42,NA,1310,78.64,14.5,NA,NA,NA
pK 67,1997,10,19.6,20.975,5.32,8.13,1.13,41.5,0.77,2.06,NA,470,72.25,2,NA,NA,NA
pK 67,1997,11,12.9,16.45,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA
pK 67,1998,1,9.9,17.1,6.44,8.16,1.59,82.8,0.27,0.86,NA,3500,350.1,21.4,NA,NA,NA
pK 67,1998,3,10.2,26.5,NA,7.97,NA,45.4,0.11,0.58,NA,1560,107.47,4.9,NA,NA,NA
pK 67,1998,5,18.975,17.8,5.17,8.05,1.43,43.8,0.29,0.11,NA,370,76.91,2.07,NA,NA,NA
pK 67,1998,6,20.5,22.7,5.265,8.05,2.69,34.85,0.37,0.31,NA,650,66.82,5.8,NA,NA,NA
pK 67,1998,7,21,17.4,5.01,7.83,2.44,14.1,0.27,0.05,NA,570,35,2.88,NA,NA,NA
pK 67,1998,9,18.55,26.675,5.19,8.04,2.4,20.6,0.7,1.5,NA,940,275.685,2.9,NA,NA,NA
pK 67,1998,10,16.925,21.7,5.27,8.05,1.31,14.8,0.5,0.5,NA,1120,76.805,22.39,NA,NA,NA
pK 67,1998,11,13,15.35,5.71,7.97,1.4,15.3,0.4,1.1,NA,1380,316.415,0.44,NA,NA,NA
pK 67,1999,3,9.8,8.51,7.59,8.02,6.88,110,0.49,0.59,NA,1010,140,0.01,NA,NA,NA
pK 67,1999,4,13,23,6.35,8,7.14,109.2,0.47,0.77,NA,1020,65.91,4.75,NA,NA,NA
pK 67,1999,5,14.2,22.85,5.8,7.79,4.17,92.3,0.25,0.31,NA,840,84.29,20.86,NA,NA,NA
pK 67,1999,6,18.2,8.05,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA
pK 67,1999,7,21.35,21.59,5.32,7.97,0.7,37.8,0.35,0.71,NA,500,52.735,0.01,NA,NA,NA
pK 67,1999,8,22.675,24.14,4.83,8.11,1.19,93.2,0.3,0.97,NA,1090,165.9,0.01,NA,NA,NA
pK 67,1999,9,19.95,23.325,4.53,8.01,2.43,101.3,0.34,0.87,31.4,410,28.3,1.12,NA,NA,NA
pK 67,1999,10,17,19.725,4.93,8.11,4.14,105.3,0.52,1.12,45.3,700,194.75,0.83,NA,NA,NA
pK 67,1999,11,11.25,14.66,5.72,8.03,1.96,109.9,0.6,0.97,63.5,870,56.9,0.01,NA,NA,NA
pK 67,2000,1,7.26,21.12,6.34,8.08,2.01,79.93,0.22,0.77,40.15,650,70.63,0.16,NA,NA,NA
pK 67,2000,3,10.74,21.5,6.03,8,1.81,52.19,0.17,1.01,59.4,1710,110.05,0.01,NA,NA,NA
pK 67,2000,4,11.55,16.19,6.1,8.06,1.48,91.19,0.1,1.41,71.6,830,99.325,1.68,NA,NA,NA
pK 67,2000,5,16.125,16.065,5.07,8.05,1.51,95.15,0.11,1.19,61.15,810,167.37,3.04,NA,NA,NA
pK 67,2000,6,18.115,16.15,5.05,8.02,0.91,30.27,0.15,0.95,31.15,930,104.165,0.01,NA,NA,NA
pK 67,2000,7,19.7,16.6,NA,8.12,NA,NA,NA,NA,NA,NA,255,NA,NA,NA,NA
pK 67,2000,9,20.425,25.1,5.345,8.02,2.015,25.155,0.25,1.345,45.29,925,78.91,1.95,NA,NA,NA
pK 67,2000,10,15.78,20.765,5.02,8.06,1.31,61.1,0.23,0.72,60.18,1250,141.52,0.94,NA,NA,NA
pK 67,2000,11,12.865,19.715,4.91,8.13,1.44,30.12,0.12,0.27,65.35,980,374.545,1.2,NA,NA,NA
pK 67,2001,1,9.34,19.55,NA,8.16,NA,NA,NA,NA,NA,1120,65.5,0.62,NA,NA,NA
pK 67,2001,3,10.82,21.2,NA,8,NA,38.72,0.12,0.59,28.1,4220,255.55,2.16,NA,NA,NA
pK 67,2001,4,12.83,16.87,NA,8.04,NA,23.16,0.09,0.54,24.045,700,49.1,1.665,NA,NA,NA
pK 67,2001,5,12.9,8.81,NA,7.82,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA
pK 67,2001,6,18.7,19.055,NA,7.92,1.65,23.94,0.39,0.45,17.49,420,37.94,2.31,NA,NA,NA
pK 67,2001,7,21.13,23.155,4.645,8.08,NA,25.32,0.32,0.44,9.73,570,38.22,1.83,NA,NA,NA
pK 67,2001,8,23.8,22.5,4.855,8.14,1.62,35.08,0.48,0.86,29.75,330,16.59,2.57,NA,NA,NA
pK 67,2001,9,20.2,22.9,4.85,7.99,NA,15.19,0.23,0.56,11.37,1050,56.95,2.1,NA,NA,NA
